time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.pitch_angle,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driver_demands.steering
0,-1.156027104,2.6276E-05,25,1.06174E-06,-0.008490553,-5.00203E-06,5.9E-11,0,0
0.01,-0.906015537,2.62797E-05,25.00194849,2.05584E-06,-0.008490252,-4.99633E-06,-3.024E-09,0,-4E-12
0.02,-0.656000438,2.62974E-05,25.00032512,4.27649E-06,-0.008486688,-4.96949E-06,-1.875E-08,0,-3.737E-09
0.03,-0.406021475,2.63368E-05,24.99503748,7.58236E-06,-0.008476178,-4.91144E-06,-5.4195E-08,0,-7.368E-09
0.04,-0.156102636,2.64022E-05,24.988843,1.17722E-05,-0.008455588,-4.81803E-06,-1.13664E-07,0,5.2044E-08
0.05,0.093761147,2.64951E-05,24.98431494,1.66251E-05,-0.008425286,-4.69279E-06,-1.9937E-07,0,3.13608E-07
0.06,0.343591124,2.66147E-05,24.98198478,2.19753E-05,-0.008388729,-4.54628E-06,-3.11824E-07,0,9.80813E-07
0.07,0.593404032,2.67589E-05,24.98061969,2.77335E-05,-0.008349718,-4.39275E-06,-4.50112E-07,0,2.29122E-06
0.08,0.843201674,2.69254E-05,24.97874127,3.38592E-05,-0.008310313,-4.24656E-06,-6.1228E-07,0,4.47703E-06
0.09,1.092975339,2.7112E-05,24.97584411,4.03201E-05,-0.008270697,-4.11946E-06,-7.95863E-07,0,7.72961E-06
0.1,1.342716983,2.73166E-05,24.9724888,4.70719E-05,-0.008230397,-4.0192E-06,-9.98305E-07,0,1.21752E-05
0.11,1.592426526,2.75377E-05,24.96955228,5.4055E-05,-0.008189531,-3.95129E-06,-1.21707E-06,0,1.78544E-05
0.12,1.842110882,2.77732E-05,24.96746706,6.12084E-05,-0.008149173,-3.91834E-06,-1.4495E-06,0,2.47019E-05
0.13,2.091778007,2.80216E-05,24.96603311,6.84795E-05,-0.008110813,-3.92089E-06,-1.69259E-06,0,3.25277E-05
0.14,2.341432036,2.82814E-05,24.96477013,7.58193E-05,-0.008075629,-3.95748E-06,-1.94294E-06,0,4.10178E-05
0.15,2.591072865,2.85516E-05,24.96337141,8.31726E-05,-0.008044183,-4.02441E-06,-2.19692E-06,0,4.97659E-05
0.16,2.840699068,2.88316E-05,24.96187659,9.04734E-05,-0.008016621,-4.1163E-06,-0.000002451,0,5.83297E-05
0.17,3.09031079,2.91208E-05,24.96051571,9.76409E-05,-0.007993016,-4.22648E-06,-2.70193E-06,0,6.6292E-05
0.18,3.339910309,2.94185E-05,24.959447,0.00010459,-0.007973534,-4.34822E-06,-2.94675E-06,0,7.33155E-05
0.19,3.5895005,2.9724E-05,24.95862748,0.000111231,-0.00795835,-4.47711E-06,-3.18276E-06,0,7.91917E-05
